id,date,project_id,description,start_time,end_time,duration_minutes
1,2026-09-08,5,Daily standup,09:00,09:15,15
2,2026-09-08,1,Homepage layout revisions,09:15,11:00,105
3,2026-09-08,6,,12:00,12:30,30
4,2026-09-08,2,Fix login crash on Android,13:00,15:30,150
5,2026-09-08,4,Update CI pipeline,15:30,17:00,90
6,2026-09-09,5,Daily standup,09:00,09:15,15
7,2026-09-09,3,Onboarding call with new client,09:15,10:00,45
8,2026-09-09,1,Checkout flow styling,10:00,12:00,120
9,2026-09-09,6,,12:00,12:30,30
10,2026-09-09,2,Write unit tests for payments,13:00,16:00,180
11,2026-09-10,5,Daily standup,09:00,09:15,15
12,2026-09-10,4,Server migration prep,09:15,11:30,135
13,2026-09-10,3,Support ticket triage,11:30,12:00,30
14,2026-09-10,6,,12:00,12:30,30
15,2026-09-10,1,Cross-browser QA,13:00,14:30,90
